購買ID,会員ID,購入年月日,購入品目,購入数量,購入金額
P0000001,M000001,2026-04-18,精肉,3,3093
P0000002,M000001,2025-12-07,飲料,5,1740
P0000003,M000001,2026-01-12,野菜,2,1124
P0000004,M000001,2026-06-15,有機食品セット,2,7448
P0000005,M000001,2026-06-16,菓子,3,1296
P0000006,M000001,2025-09-22,飲料,2,754
P0000007,M000002,2026-06-20,鮮魚,4,6652
P0000008,M000002,2025-12-29,果物,4,4252
P0000009,M000002,2026-01-28,野菜,1,477
P0000010,M000002,2025-09-12,鮮魚,1,1393
P0000011,M000002,2026-06-02,調味料,2,1122
P0000012,M000002,2025-09-16,惣菜,3,1269
P0000013,M000002,2026-05-11,調味料,4,1572
P0000014,M000002,2026-01-21,果物,3,2244
P0000015,M000002,2026-06-21,鮮魚,2,2690
P0000016,M000003,2026-06-02,惣菜,1,1031
P0000017,M000003,2025-12-24,精肉,3,3375
P0000018,M000003,2025-09-02,惣菜,2,1384
P0000019,M000003,2025-11-15,果物,5,2825
P0000020,M000004,2025-11-01,果物,3,3438
P0000021,M000004,2026-04-29,果物,1,962
P0000022,M000004,2026-03-06,果物,1,862
P0000023,M000004,2026-04-07,精肉,4,5188
P0000024,M000004,2026-06-08,果物,1,949
P0000025,M000004,2025-09-04,有機食品セット,3,15132
P0000026,M000004,2025-08-26,米・穀物,5,19485
P0000027,M000004,2026-04-10,菓子,3,2070
P0000028,M000004,2025-11-26,精肉,4,4196
P0000029,M000004,2026-05-05,飲料,1,544
P0000030,M000004,2026-04-15,果物,1,714
P0000031,M000004,2026-05-09,菓子,4,2404
P0000032,M000004,2025-09-16,惣菜,2,1534
P0000033,M000004,2026-04-01,惣菜,3,1578
P0000034,M000005,2025-12-03,惣菜,4,2096
P0000035,M000005,2025-09-11,菓子,3,1404
P0000036,M000005,2026-05-07,惣菜,1,627
P0000037,M000006,2025-08-07,有機食品セット,4,10480
P0000038,M000006,2025-12-30,鮮魚,4,6084
P0000039,M000006,2025-08-31,野菜,2,878
P0000040,M000006,2025-12-26,惣菜,5,3960
P0000041,M000006,2026-02-26,精肉,4,5024
P0000042,M000006,2025-09-12,惣菜,1,660
P0000043,M000006,2025-10-08,鮮魚,4,6444
P0000044,M000006,2026-01-05,米・穀物,1,1695
P0000045,M000006,2026-04-09,調味料,1,477
P0000046,M000007,2026-02-07,野菜,4,3132
P0000047,M000007,2025-11-07,惣菜,3,2559
P0000048,M000007,2025-09-20,惣菜,1,464
