明細ID,取引ID,商品ID,商品名,数量,金額
D00000001,T0000001,G12,緑茶ペットボトル,3,412
D00000002,T0000001,G07,さば,3,1251
D00000003,T0000002,G01,トマト,3,812
D00000004,T0000002,G01,トマト,1,265
D00000005,T0000002,G12,緑茶ペットボトル,2,279
D00000006,T0000003,G07,さば,3,1379
D00000007,T0000003,G08,まぐろ刺身,1,834
D00000008,T0000003,G15,チョコレート,2,417
D00000009,T0000004,G08,まぐろ刺身,3,2302
D00000010,T0000004,G05,牛肉（国産）,1,961
D00000011,T0000004,G05,牛肉（国産）,2,1961
D00000012,T0000004,G11,からあげ弁当,1,612
D00000013,T0000005,G03,りんご,1,288
D00000014,T0000005,G10,食パン,1,219
D00000015,T0000006,G01,トマト,3,775
D00000016,T0000007,G09,こしひかり5kg,1,2686
D00000017,T0000007,G06,鶏むね肉,2,933
D00000018,T0000007,G14,ポテトチップス,2,346
D00000019,T0000007,G02,レタス,3,599
D00000020,T0000008,G11,からあげ弁当,2,1118
D00000021,T0000008,G10,食パン,3,747
D00000022,T0000008,G10,食パン,1,219
D00000023,T0000009,G08,まぐろ刺身,1,826
D00000024,T0000009,G01,トマト,1,243
D00000025,T0000009,G04,バナナ,1,197
D00000026,T0000009,G08,まぐろ刺身,1,871
D00000027,T0000010,G04,バナナ,3,582
D00000028,T0000010,G10,食パン,2,450
D00000029,T0000010,G14,ポテトチップス,1,161
D00000030,T0000010,G05,牛肉（国産）,2,1923
D00000031,T0000011,G01,トマト,3,846
D00000032,T0000011,G09,こしひかり5kg,1,2931
D00000033,T0000012,G02,レタス,2,360
D00000034,T0000013,G04,バナナ,2,422
D00000035,T0000013,G06,鶏むね肉,3,1540
D00000036,T0000013,G01,トマト,1,285
D00000037,T0000013,G04,バナナ,1,215
D00000038,T0000014,G04,バナナ,3,648
D00000039,T0000014,G12,緑茶ペットボトル,2,279
D00000040,T0000014,G08,まぐろ刺身,3,2601
D00000041,T0000014,G16,しょうゆ,2,647
D00000042,T0000014,G12,緑茶ペットボトル,1,137
D00000043,T0000015,G10,食パン,3,739
D00000044,T0000015,G12,緑茶ペットボトル,3,397
D00000045,T0000015,G02,レタス,2,391
D00000046,T0000016,G02,レタス,1,176
D00000047,T0000016,G12,緑茶ペットボトル,1,135
D00000048,T0000016,G11,からあげ弁当,2,1130
D00000049,T0000017,G01,トマト,1,249
D00000050,T0000017,G12,緑茶ペットボトル,3,426
D00000051,T0000018,G05,牛肉（国産）,3,2842
D00000052,T0000018,G12,緑茶ペットボトル,2,293
D00000053,T0000018,G01,トマト,3,753
D00000054,T0000018,G14,ポテトチップス,1,156
D00000055,T0000018,G11,からあげ弁当,1,527
D00000056,T0000019,G03,りんご,3,1012
D00000057,T0000019,G07,さば,3,1164
D00000058,T0000019,G01,トマト,2,565
D00000059,T0000019,G01,トマト,2,478
D00000060,T0000020,G02,レタス,2,348
D00000061,T0000021,G15,チョコレート,3,637
D00000062,T0000021,G08,まぐろ刺身,2,1725
D00000063,T0000021,G01,トマト,3,768
D00000064,T0000021,G14,ポテトチップス,3,494
D00000065,T0000021,G14,ポテトチップス,1,170
D00000066,T0000022,G03,りんご,3,883
D00000067,T0000022,G01,トマト,3,744
D00000068,T0000022,G09,こしひかり5kg,2,5087
D00000069,T0000023,G14,ポテトチップス,1,172
D00000070,T0000023,G10,食パン,2,498
D00000071,T0000023,G03,りんご,2,670
D00000072,T0000024,G11,からあげ弁当,2,1227
D00000073,T0000024,G03,りんご,1,306
D00000074,T0000024,G10,食パン,1,242
D00000075,T0000025,G03,りんご,3,861
D00000076,T0000025,G06,鶏むね肉,2,1009
D00000077,T0000025,G12,緑茶ペットボトル,2,256
D00000078,T0000025,G03,りんご,3,872
D00000079,T0000026,G14,ポテトチップス,1,163
D00000080,T0000026,G16,しょうゆ,1,317
D00000081,T0000026,G06,鶏むね肉,1,468
D00000082,T0000026,G02,レタス,1,204
D00000083,T0000027,G09,こしひかり5kg,2,5827
D00000084,T0000028,G12,緑茶ペットボトル,1,137
D00000085,T0000028,G04,バナナ,3,624
D00000086,T0000029,G04,バナナ,2,418
D00000087,T0000029,G04,バナナ,3,682
D00000088,T0000030,G06,鶏むね肉,1,433
D00000089,T0000031,G07,さば,1,453
D00000090,T0000031,G13,コーヒー豆,1,814
D00000091,T0000031,G03,りんご,2,642
D00000092,T0000032,G14,ポテトチップス,1,177
D00000093,T0000032,G06,鶏むね肉,3,1321
D00000094,T0000032,G04,バナナ,1,198
D00000095,T0000033,G05,牛肉（国産）,3,2726
D00000096,T0000033,G14,ポテトチップス,1,173
D00000097,T0000033,G12,緑茶ペットボトル,2,257
D00000098,T0000033,G15,チョコレート,1,205
D00000099,T0000033,G02,レタス,3,596
D00000100,T0000034,G11,からあげ弁当,1,618
D00000101,T0000034,G04,バナナ,2,448
D00000102,T0000034,G14,ポテトチップス,3,465
D00000103,T0000034,G13,コーヒー豆,2,1722
D00000104,T0000035,G12,緑茶ペットボトル,1,143
D00000105,T0000035,G03,りんご,1,343
D00000106,T0000035,G10,食パン,3,629
D00000107,T0000036,G01,トマト,2,491
D00000108,T0000036,G07,さば,3,1204
D00000109,T0000036,G10,食パン,2,467
D00000110,T0000036,G02,レタス,1,176
D00000111,T0000036,G12,緑茶ペットボトル,3,418
D00000112,T0000037,G03,りんご,2,660
D00000113,T0000037,G11,からあげ弁当,3,1642
D00000114,T0000037,G07,さば,3,1379
D00000115,T0000038,G11,からあげ弁当,1,530
D00000116,T0000039,G01,トマト,2,475
D00000117,T0000040,G01,トマト,3,766
D00000118,T0000041,G14,ポテトチップス,3,490
D00000119,T0000041,G05,牛肉（国産）,1,953
D00000120,T0000041,G15,チョコレート,2,478
D00000121,T0000042,G14,ポテトチップス,1,178
D00000122,T0000042,G14,ポテトチップス,3,516
D00000123,T0000042,G14,ポテトチップス,3,494
D00000124,T0000043,G06,鶏むね肉,1,440
D00000125,T0000044,G15,チョコレート,3,659
D00000126,T0000044,G07,さば,3,1220
D00000127,T0000044,G06,鶏むね肉,1,505
D00000128,T0000045,G09,こしひかり5kg,3,7417
D00000129,T0000045,G09,こしひかり5kg,3,8085
D00000130,T0000045,G05,牛肉（国産）,3,2724
