取引ID,会員ID,利用日時,店舗ID,店舗名,担当者ID
T0000001,M000001,2026-03-17 19:30:28,S06,PPCマート浦和店,E007
T0000002,M000001,2026-03-09 12:31:50,S07,PPCマート船橋店,E015
T0000003,M000001,2025-10-30 14:30:31,S03,PPCマート大田店,E013
T0000004,M000001,2025-08-21 15:08:22,S01,PPCマート世田谷店,E001
T0000005,M000001,2025-08-27 19:51:41,S07,PPCマート船橋店,E033
T0000006,M000001,2025-08-28 11:18:58,S04,PPCマート青葉店,E002
T0000007,M000002,2025-08-01 17:35:58,S05,PPCマート宮前店,E020
T0000008,M000002,2026-01-21 15:44:22,S06,PPCマート浦和店,E023
T0000009,M000002,2025-10-07 14:54:34,S07,PPCマート船橋店,E009
T0000010,M000002,2026-05-17 20:54:54,S06,PPCマート浦和店,E007
T0000011,M000002,2026-03-06 13:38:15,S06,PPCマート浦和店,E029
T0000012,M000002,2026-03-11 18:39:33,S07,PPCマート船橋店,E025
T0000013,M000003,2026-04-20 13:17:45,S01,PPCマート世田谷店,E028
T0000014,M000003,2025-07-21 19:52:26,S07,PPCマート船橋店,E015
T0000015,M000003,2025-12-30 11:13:33,S04,PPCマート青葉店,E036
T0000016,M000003,2025-10-26 20:11:12,S02,PPCマート杉並店,E040
T0000017,M000003,2026-03-09 10:47:48,S01,PPCマート世田谷店,E027
T0000018,M000003,2026-04-21 15:24:31,S02,PPCマート杉並店,E034
T0000019,M000004,2026-06-25 09:22:08,S07,PPCマート船橋店,E032
T0000020,M000004,2026-01-14 17:00:57,S04,PPCマート青葉店,E005
T0000021,M000004,2025-10-12 18:48:21,S05,PPCマート宮前店,E035
T0000022,M000004,2025-08-04 12:26:33,S06,PPCマート浦和店,E018
T0000023,M000005,2025-09-26 18:21:06,S02,PPCマート杉並店,E019
T0000024,M000005,2025-07-09 20:42:03,S03,PPCマート大田店,E028
T0000025,M000005,2026-04-28 09:39:38,S01,PPCマート世田谷店,E009
T0000026,M000005,2025-11-27 10:57:27,S02,PPCマート杉並店,E011
T0000027,M000005,2026-01-19 16:23:41,S07,PPCマート船橋店,E018
T0000028,M000005,2025-08-06 20:09:53,S04,PPCマート青葉店,E035
T0000029,M000005,2025-09-13 12:54:45,S05,PPCマート宮前店,E028
T0000030,M000005,2026-04-01 10:54:41,S04,PPCマート青葉店,E039
T0000031,M000006,2026-03-22 17:19:02,S07,PPCマート船橋店,E018
T0000032,M000006,2026-06-06 20:02:13,S07,PPCマート船橋店,E028
T0000033,M000006,2025-10-15 17:54:03,S06,PPCマート浦和店,E013
T0000034,M000006,2025-11-17 15:21:49,S07,PPCマート船橋店,E003
T0000035,M000006,2026-04-05 19:21:30,S01,PPCマート世田谷店,E001
T0000036,M000006,2025-10-14 17:34:56,S05,PPCマート宮前店,E002
T0000037,M000006,2026-04-15 11:07:10,S02,PPCマート杉並店,E038
T0000038,M000007,2026-03-23 18:20:45,S08,PPCマート霞が関店,E001
T0000039,M000007,2026-06-29 09:05:02,S06,PPCマート浦和店,E037
T0000040,M000007,2025-12-31 14:09:48,S03,PPCマート大田店,E032
T0000041,M000008,2025-07-01 10:34:53,S02,PPCマート杉並店,E019
T0000042,M000008,2025-08-07 20:18:03,S07,PPCマート船橋店,E006
T0000043,M000008,2026-06-23 19:05:46,S01,PPCマート世田谷店,E034
T0000044,M000008,2025-11-04 10:55:40,S06,PPCマート浦和店,E026
T0000045,M000008,2026-06-17 12:30:02,S07,PPCマート船橋店,E019
T0000046,M000009,2025-09-05 15:11:58,S06,PPCマート浦和店,E020
T0000047,M000009,2026-02-13 20:57:32,S02,PPCマート杉並店,E031
T0000048,M000009,2025-10-01 18:52:52,S07,PPCマート船橋店,E030
T0000049,M000010,2025-10-27 16:26:55,S04,PPCマート青葉店,E015
T0000050,M000010,2026-02-06 10:04:27,S06,PPCマート浦和店,E030
T0000051,M000010,2025-09-13 09:36:09,S06,PPCマート浦和店,E029
T0000052,M000010,2025-11-13 14:12:15,S01,PPCマート世田谷店,E015
T0000053,M000011,2026-01-19 09:08:25,S08,PPCマート霞が関店,E014
T0000054,M000011,2025-10-05 20:50:44,S07,PPCマート船橋店,E016
T0000055,M000011,2025-10-07 15:38:33,S04,PPCマート青葉店,E011
T0000056,M000011,2025-08-14 11:58:31,S03,PPCマート大田店,E009
T0000057,M000011,2025-10-03 09:06:04,S03,PPCマート大田店,E003
T0000058,M000011,2025-10-29 12:53:24,S04,PPCマート青葉店,E025
T0000059,M000011,2026-02-22 14:23:09,S05,PPCマート宮前店,E012
T0000060,M000012,2026-02-02 20:13:07,S03,PPCマート大田店,E003
T0000061,M000012,2025-08-15 09:30:32,S04,PPCマート青葉店,E035
T0000062,M000013,2025-09-01 19:43:48,S01,PPCマート世田谷店,E028
T0000063,M000013,2025-08-08 19:30:53,S01,PPCマート世田谷店,E016
T0000064,M000013,2025-08-15 18:39:59,S06,PPCマート浦和店,E020
T0000065,M000014,2025-09-22 12:01:46,S01,PPCマート世田谷店,E035
T0000066,M000014,2026-06-05 13:22:20,S05,PPCマート宮前店,E021
T0000067,M000014,2025-12-13 18:04:18,S06,PPCマート浦和店,E015
T0000068,M000015,2025-12-09 14:17:53,S04,PPCマート青葉店,E033
T0000069,M000015,2025-11-01 14:05:39,S05,PPCマート宮前店,E020
T0000070,M000015,2025-10-16 10:06:52,S04,PPCマート青葉店,E026
T0000071,M000015,2026-05-22 17:03:49,S06,PPCマート浦和店,E022
T0000072,M000015,2026-02-10 15:14:02,S07,PPCマート船橋店,E012
T0000073,M000016,2025-11-27 09:23:00,S01,PPCマート世田谷店,E019
T0000074,M000016,2025-07-07 18:13:26,S02,PPCマート杉並店,E018
T0000075,M000016,2026-04-29 10:02:28,S03,PPCマート大田店,E039
T0000076,M000016,2025-11-29 16:04:04,S04,PPCマート青葉店,E022
T0000077,M000017,2026-05-30 18:33:28,S07,PPCマート船橋店,E014
T0000078,M000017,2026-04-16 09:21:48,S04,PPCマート青葉店,E038
T0000079,M000017,2025-11-19 11:41:53,S07,PPCマート船橋店,E027
T0000080,M000017,2026-03-16 12:37:49,S04,PPCマート青葉店,E022
T0000081,M000018,2026-03-15 11:49:03,S03,PPCマート大田店,E026
T0000082,M000018,2026-04-25 13:01:53,S06,PPCマート浦和店,E038
T0000083,M000018,2025-09-24 13:47:05,S04,PPCマート青葉店,E014
T0000084,M000018,2026-02-07 14:44:30,S02,PPCマート杉並店,E018
T0000085,M000018,2026-01-24 20:51:57,S01,PPCマート世田谷店,E021
T0000086,M000018,2025-11-17 11:33:51,S06,PPCマート浦和店,E009
T0000087,M000018,2026-04-30 10:07:58,S04,PPCマート青葉店,E028
T0000088,M000018,2025-12-16 11:08:38,S01,PPCマート世田谷店,E037
T0000089,M000019,2025-09-07 17:29:46,S02,PPCマート杉並店,E021
T0000090,M000019,2026-06-08 20:29:12,S02,PPCマート杉並店,E032
T0000091,M000019,2025-11-24 18:50:15,S08,PPCマート霞が関店,E026
T0000092,M000019,2026-04-29 12:09:46,S04,PPCマート青葉店,E002
T0000093,M000019,2026-05-19 15:13:03,S01,PPCマート世田谷店,E012
T0000094,M000019,2026-03-04 19:38:28,S06,PPCマート浦和店,E034
T0000095,M000019,2025-12-31 10:10:13,S06,PPCマート浦和店,E006
T0000096,M000019,2026-01-28 16:41:50,S04,PPCマート青葉店,E019
T0000097,M000020,2025-09-09 10:08:27,S04,PPCマート青葉店,E001
T0000098,M000020,2025-08-14 12:53:36,S04,PPCマート青葉店,E026
T0000099,M000021,2025-11-13 11:21:13,S01,PPCマート世田谷店,E028
T0000100,M000021,2025-10-23 16:53:25,S02,PPCマート杉並店,E021
T0000101,M000021,2026-03-02 12:45:21,S02,PPCマート杉並店,E038
T0000102,M000021,2025-12-03 10:28:06,S07,PPCマート船橋店,E017
T0000103,M000021,2026-05-20 19:33:15,S04,PPCマート青葉店,E033
T0000104,M000021,2026-01-19 10:24:48,S01,PPCマート世田谷店,E021
T0000105,M000021,2025-12-19 20:29:56,S03,PPCマート大田店,E034
T0000106,M000021,2026-06-05 15:19:25,S02,PPCマート杉並店,E017
T0000107,M000022,2025-08-03 12:23:17,S08,PPCマート霞が関店,E007
T0000108,M000022,2026-02-02 14:42:18,S05,PPCマート宮前店,E037
T0000109,M000022,2025-12-19 17:44:15,S05,PPCマート宮前店,E023
T0000110,M000022,2026-03-20 19:48:21,S05,PPCマート宮前店,E028
T0000111,M000023,2025-09-12 11:48:33,S05,PPCマート宮前店,E016
T0000112,M000023,2025-12-01 12:33:28,S02,PPCマート杉並店,E014
T0000113,M000023,2025-09-14 11:21:37,S03,PPCマート大田店,E011
T0000114,M000024,2025-12-13 18:33:31,S05,PPCマート宮前店,E032
T0000115,M000024,2026-01-06 13:35:25,S01,PPCマート世田谷店,E036
T0000116,M000024,2025-07-23 16:51:41,S04,PPCマート青葉店,E020
T0000117,M000024,2025-11-04 13:55:21,S04,PPCマート青葉店,E004
T0000118,M000024,2026-05-07 17:54:39,S02,PPCマート杉並店,E034
T0000119,M000024,2025-11-14 19:45:35,S03,PPCマート大田店,E040
T0000120,M000024,2025-08-15 17:20:36,S04,PPCマート青葉店,E008
T0000121,M000025,2025-09-04 14:49:17,S04,PPCマート青葉店,E025
T0000122,M000025,2025-10-18 09:59:58,S03,PPCマート大田店,E034
T0000123,M000026,2026-03-26 14:09:34,S02,PPCマート杉並店,E035
T0000124,M000026,2025-12-06 14:29:24,S05,PPCマート宮前店,E023
T0000125,M000026,2026-06-04 15:28:28,S05,PPCマート宮前店,E024
T0000126,M000026,2026-02-23 11:39:32,S02,PPCマート杉並店,E022
T0000127,M000026,2025-08-16 15:43:24,S07,PPCマート船橋店,E039
T0000128,M000026,2025-11-11 10:47:27,S03,PPCマート大田店,E029
T0000129,M000027,2025-08-16 13:21:56,S04,PPCマート青葉店,E039
T0000130,M000027,2026-03-08 10:30:25,S05,PPCマート宮前店,E033
T0000131,M000027,2026-06-11 15:19:58,S08,PPCマート霞が関店,E019
T0000132,M000027,2025-12-05 20:04:25,S07,PPCマート船橋店,E010
T0000133,M000027,2026-05-01 14:43:30,S06,PPCマート浦和店,E009
T0000134,M000027,2026-06-08 18:23:16,S02,PPCマート杉並店,E002
T0000135,M000027,2025-07-29 14:01:53,S08,PPCマート霞が関店,E030
T0000136,M000027,2026-01-13 14:10:26,S04,PPCマート青葉店,E028
T0000137,M000028,2026-02-11 09:41:10,S05,PPCマート宮前店,E012
T0000138,M000028,2025-12-24 09:38:30,S01,PPCマート世田谷店,E022
T0000139,M000028,2026-05-31 16:05:27,S04,PPCマート青葉店,E004
T0000140,M000028,2026-02-01 11:38:08,S03,PPCマート大田店,E028
T0000141,M000028,2025-12-18 09:20:08,S01,PPCマート世田谷店,E006
T0000142,M000028,2026-04-08 17:56:01,S02,PPCマート杉並店,E025
T0000143,M000029,2025-12-03 16:05:17,S08,PPCマート霞が関店,E017
T0000144,M000029,2025-12-27 12:06:42,S06,PPCマート浦和店,E032
T0000145,M000029,2025-10-15 10:36:26,S03,PPCマート大田店,E013
T0000146,M000029,2025-09-24 12:09:06,S06,PPCマート浦和店,E032
T0000147,M000029,2025-12-21 20:09:47,S02,PPCマート杉並店,E027
T0000148,M000029,2026-02-23 19:07:38,S07,PPCマート船橋店,E019
T0000149,M000030,2025-12-02 19:15:04,S08,PPCマート霞が関店,E039
T0000150,M000030,2026-05-23 17:05:03,S03,PPCマート大田店,E010
T0000151,M000030,2026-03-08 18:29:21,S04,PPCマート青葉店,E010
T0000152,M000031,2025-12-02 16:37:43,S01,PPCマート世田谷店,E013
T0000153,M000031,2025-12-11 15:00:05,S04,PPCマート青葉店,E006
T0000154,M000032,2026-02-01 18:48:34,S04,PPCマート青葉店,E005
T0000155,M000032,2026-05-31 17:28:09,S04,PPCマート青葉店,E012
T0000156,M000032,2026-06-18 15:50:42,S04,PPCマート青葉店,E034
T0000157,M000032,2026-04-22 20:43:53,S04,PPCマート青葉店,E034
T0000158,M000033,2025-10-16 18:07:25,S01,PPCマート世田谷店,E028
T0000159,M000033,2025-07-17 17:04:47,S01,PPCマート世田谷店,E007
T0000160,M000033,2025-07-09 15:59:39,S04,PPCマート青葉店,E028
T0000161,M000033,2025-11-15 10:06:16,S06,PPCマート浦和店,E004
T0000162,M000034,2025-10-22 18:49:10,S06,PPCマート浦和店,E036
T0000163,M000034,2026-05-14 14:37:11,S07,PPCマート船橋店,E006
T0000164,M000034,2026-03-11 17:01:52,S06,PPCマート浦和店,E009
T0000165,M000034,2026-04-03 15:24:10,S02,PPCマート杉並店,E019
T0000166,M000034,2026-03-31 10:25:28,S03,PPCマート大田店,E014
T0000167,M000035,2025-12-15 17:18:51,S06,PPCマート浦和店,E032
T0000168,M000035,2025-11-12 09:17:53,S03,PPCマート大田店,E006
T0000169,M000035,2025-12-18 16:03:52,S04,PPCマート青葉店,E021
T0000170,M000035,2026-05-28 17:26:26,S04,PPCマート青葉店,E010
T0000171,M000036,2025-07-10 19:36:43,S08,PPCマート霞が関店,E012
T0000172,M000036,2025-07-17 20:50:00,S06,PPCマート浦和店,E036
T0000173,M000036,2026-06-07 14:32:44,S07,PPCマート船橋店,E018
T0000174,M000036,2025-12-22 12:25:52,S02,PPCマート杉並店,E039
T0000175,M000036,2025-11-16 19:11:39,S05,PPCマート宮前店,E001
T0000176,M000037,2025-07-11 19:31:42,S02,PPCマート杉並店,E038
T0000177,M000037,2025-11-19 17:53:41,S04,PPCマート青葉店,E023
T0000178,M000037,2025-07-22 14:23:24,S07,PPCマート船橋店,E019
T0000179,M000037,2025-11-16 09:11:48,S01,PPCマート世田谷店,E021
T0000180,M000037,2025-12-20 20:47:45,S03,PPCマート大田店,E020
T0000181,M000038,2025-09-10 19:44:35,S05,PPCマート宮前店,E024
T0000182,M000038,2026-06-12 10:26:17,S08,PPCマート霞が関店,E038
T0000183,M000039,2025-07-30 18:05:11,S01,PPCマート世田谷店,E024
T0000184,M000039,2026-03-04 20:19:49,S05,PPCマート宮前店,E037
T0000185,M000039,2026-06-05 12:53:47,S06,PPCマート浦和店,E020
T0000186,M000039,2026-02-04 10:16:01,S02,PPCマート杉並店,E004
T0000187,M000039,2026-02-03 15:08:52,S03,PPCマート大田店,E023
T0000188,M000040,2025-08-03 18:26:39,S04,PPCマート青葉店,E019
T0000189,M000040,2025-10-21 10:43:58,S05,PPCマート宮前店,E014
T0000190,M000040,2025-11-20 10:44:57,S01,PPCマート世田谷店,E027
T0000191,M000040,2026-06-01 13:24:38,S01,PPCマート世田谷店,E009
T0000192,M000040,2026-05-24 13:44:39,S03,PPCマート大田店,E006
T0000193,M000041,2025-11-04 09:35:29,S01,PPCマート世田谷店,E020
T0000194,M000041,2026-05-10 12:20:34,S02,PPCマート杉並店,E017
T0000195,M000041,2026-04-16 16:18:35,S01,PPCマート世田谷店,E039
T0000196,M000041,2025-08-07 10:47:18,S07,PPCマート船橋店,E034
T0000197,M000041,2026-02-15 20:21:52,S04,PPCマート青葉店,E001
T0000198,M000041,2025-11-21 16:25:35,S04,PPCマート青葉店,E003
T0000199,M000041,2025-10-23 16:03:55,S01,PPCマート世田谷店,E016
T0000200,M000041,2026-02-03 16:29:10,S04,PPCマート青葉店,E038
T0000201,M000042,2025-09-11 16:55:36,S05,PPCマート宮前店,E030
T0000202,M000042,2026-02-06 13:54:34,S03,PPCマート大田店,E021
T0000203,M000042,2025-09-11 13:17:44,S01,PPCマート世田谷店,E023
T0000204,M000042,2026-03-17 16:16:17,S03,PPCマート大田店,E036
T0000205,M000042,2026-01-28 16:09:20,S01,PPCマート世田谷店,E013
T0000206,M000043,2026-05-26 18:24:11,S06,PPCマート浦和店,E014
T0000207,M000043,2025-08-18 17:24:02,S05,PPCマート宮前店,E004
T0000208,M000043,2026-05-31 16:42:07,S01,PPCマート世田谷店,E029
T0000209,M000043,2026-06-13 14:49:49,S01,PPCマート世田谷店,E013
T0000210,M000043,2025-11-11 20:21:12,S07,PPCマート船橋店,E032
T0000211,M000043,2026-03-21 19:38:35,S08,PPCマート霞が関店,E034
T0000212,M000043,2025-08-19 12:21:05,S05,PPCマート宮前店,E009
T0000213,M000043,2025-10-22 12:51:28,S06,PPCマート浦和店,E016
T0000214,M000044,2025-10-17 12:27:25,S04,PPCマート青葉店,E030
T0000215,M000044,2026-03-14 10:27:26,S05,PPCマート宮前店,E004
T0000216,M000044,2025-10-03 20:38:59,S03,PPCマート大田店,E033
T0000217,M000044,2026-02-25 20:55:53,S03,PPCマート大田店,E004
T0000218,M000044,2026-01-10 18:26:59,S05,PPCマート宮前店,E039
T0000219,M000044,2026-04-25 09:02:23,S04,PPCマート青葉店,E040
T0000220,M000044,2025-07-31 19:37:15,S03,PPCマート大田店,E024
T0000221,M000044,2026-03-12 14:47:13,S03,PPCマート大田店,E003
T0000222,M000045,2025-08-02 18:28:07,S03,PPCマート大田店,E034
T0000223,M000045,2025-11-28 17:41:48,S04,PPCマート青葉店,E035
T0000224,M000045,2026-04-08 17:08:24,S03,PPCマート大田店,E028
T0000225,M000045,2026-03-01 18:05:09,S04,PPCマート青葉店,E039
T0000226,M000045,2026-04-23 14:33:35,S05,PPCマート宮前店,E022
T0000227,M000045,2026-02-19 11:03:10,S04,PPCマート青葉店,E025
T0000228,M000046,2026-02-24 18:05:43,S06,PPCマート浦和店,E037
